,title,channel,running_time,watch_date,watch_time,category,watched_YN
175,힘든 세상을 견디는 힘 | 신준석 세바시 대학 말하기 전공 4기 수료생 #동기부여 #인생 #행복,세바시 강연 Sebasi Talk,10:33,2023-01-27,오후 4:50,,1
176,Team F vs. Team D 매치 하이라이트 | SEASON 2023 KICKOFF,LCK,35:05,2023-01-27,오후 4:44,,1
177,문도 피구 | Team F vs. Team D 진영 선택 게임 | SEASON 2023 KICKOFF,LCK,9:53,2023-01-27,오후 4:33,,1
178,2023 T1의 역대급 설계와 속도 [T1 vs KDF],플레임[이호종],17:49,2023-01-27,오후 4:15,,1
179,페이커의 미드 베인 ㄷㄷ,롤 관전소,0:59,2023-01-27,오후 4:14,,1
180,롤도사 베릴의 역대급 꼴픽이 통했던 이유,둥쓰TV,8:26,2023-01-27,오후 4:14,,1
181,"페이커의 노스킨이 게임이 잘 된다는 베릴, 단 예외가 몇가지 있는데",베르릉,1:38,2023-01-27,오후 4:13,,1
182,개인방송 중 스킨을 끼지 않는 이유를 밝힌 T1의 페이커 ㅋㅋㅋㅋㅋ,아리tv-롤정보통,1:01,2023-01-27,오후 4:12,,1
183,⚠️싱싱미역시청주의⚠️ | T1 vs. 광동 게임1 하이라이트 | 01.26 | 2023 LCK 스프링 스플릿,LCK,7:35,2023-01-27,오후 4:05,,1
184,cvMax on T1 vs KDF: Zeri-Yuumi was a viable counter against Varus-Caitlyn,KORIZON Esports,6:28,2023-01-27,오후 3:58,,1
185,"2023년 대기업vs중견기업vs중소기업 연봉,월급,서울 아파트 평균 가격, 4분 완벽 정리",JOB썰 잡썰,4:02,2023-01-27,오후 3:55,,0
186,표식 북미 데뷔전에서 은퇴선언?.. 충격! 프린스 북미에서 맹활약! T1과 젠지 압도적인 체급으로 찍어 누르고 연승! 롤이슈 붐바야,붐바야,3:42,2023-01-27,오후 3:50,,1
187,"24살 비전공자 신입 개발자의 최종 합격 포트폴리오 (백엔드 · Java, PHP)",띵지로그 ddingji,12:03,2023-01-25,오후 7:57,,1
188,후회없이 회사를 선택하는 기준,퇴사한 이형,8:46,2023-01-25,오후 5:59,,1
189,그냥 솔직하게 말하는 이직물경력의 모든것,면접왕 이형,19:59,2023-01-25,오후 5:33,,1
