,searchword,search_date,search_time
322,Stanford nlp,2022-12-23,오후 11:19
323,NLP,2022-12-23,오후 11:18
324,자연어처리,2022-12-23,오후 11:18
325,https://www.youtube.com/watch?v=UZJOrjOAM00,2022-12-23,오후 12:52
326,취업 지원 회사 매출,2022-12-22,오후 8:42
327,kakao,2022-12-22,오전 9:59
328,kakao if,2022-12-22,오전 9:59
329,파카,2022-12-21,오전 11:56
330,사망여우,2022-12-21,오전 10:44
331,눈쟁이,2022-12-21,오전 10:43
332,형독,2022-12-21,오전 10:33
333,이중대,2022-12-21,오전 10:33
334,3080,2022-12-21,오전 10:22
335,amd 팔병장,2022-12-21,오전 10:13
336,뉴스,2022-12-20,오후 10:39
337,코로나 문해력,2022-12-20,오후 10:11
338,코로나 교육격차,2022-12-20,오후 10:10
339,야간작업,2022-12-20,오후 2:01
340,없섭,2022-12-20,오후 2:01
341,도레,2022-12-20,오후 2:00
342,jtbc,2022-12-20,오후 1:41
343,moducon 2022,2022-12-19,오후 5:56
344,김실장,2022-12-19,오후 2:31
345,G식,2022-12-19,오후 2:30
346,병병병,2022-12-19,오후 1:58
347,팍플레이,2022-12-19,오후 1:58
348,세글자,2022-12-19,오후 1:57
349,파카,2022-12-19,오후 1:57
350,kolibri,2022-12-19,오후 12:08
351,curriculum alignment,2022-12-19,오후 12:05
352,자퇴 뉴스,2022-12-19,오전 10:55
353,자퇴,2022-12-19,오전 10:55
354,머신러닝 프로젝트,2022-12-19,오전 9:36
355,machine learning projects,2022-12-19,오전 9:09
356,machine learning tutorial,2022-12-19,오전 9:09
357,머신러닝,2022-12-19,오전 8:50
358,기획,2022-12-19,오전 12:00
359,IP 콘텐츠,2022-12-18,오후 3:41
360,IP -주소,2022-12-18,오후 3:41
361,IP,2022-12-18,오후 3:41
362,IP 확장,2022-12-18,오후 3:40
363,Chatgpt,2022-12-18,오전 7:19
364,3080 next gen,2022-12-17,오후 11:15
365,퇴사한 이형,2022-12-17,오후 5:31
366,https://www.youtube.com/watch?v=a5Rk1Q1R3Z0,2022-12-17,오후 5:29
367,dx challenge,2022-12-17,오후 5:18
368,dataweek,2022-12-17,오후 5:18
369,chatgpt,2022-12-17,오후 4:30
370,https://www.youtube.com/watch?v=OEMaM_DC7gA,2022-12-16,오후 3:10
371,사망여우,2022-12-16,오후 3:06
372,영레기,2022-12-14,오후 9:05
373,모두의연구소,2022-12-14,오후 8:57
374,chatgpt,2022-12-14,오후 8:45
375,재벌집 막네아들,2022-12-13,오후 10:22
